date,USD,EUR
2024-01-01,89.6883,99.1919
2024-01-02,89.6883,99.1919
2024-01-03,89.6883,99.1919
2024-01-04,89.6883,99.1919
2024-01-05,89.6883,99.1919
2024-01-06,89.6883,99.1919
2024-01-07,89.6883,99.1919
2024-01-08,89.6883,99.1919
2024-01-09,89.6883,99.1919
2024-01-10,90.404,98.9825
2024-01-11,89.3939,97.8745
2024-01-12,88.7818,97.5401
2024-01-13,88.1324,96.7517
2024-01-14,88.1324,96.7517
2024-01-15,88.1324,96.7517
2024-01-16,87.6772,96.0682
2024-01-17,87.6457,95.6007
2024-01-18,88.354,96.0531
2024-01-19,88.661,96.5882
2024-01-20,88.5896,96.3835
2024-01-21,88.5896,96.3835
2024-01-22,88.5896,96.3835
2024-01-23,87.9724,95.8854
2024-01-24,87.9199,95.8266
2024-01-25,88.2829,96.1657
2024-01-26,88.6562,96.6365
2024-01-27,89.5159,97.0945
2024-01-28,89.5159,97.0945
2024-01-29,89.5159,97.0945
2024-01-30,89.609,96.9777
2024-01-31,89.2887,96.7895
2024-02-01,89.6678,97.1149
2024-02-02,90.2299,97.4009
2024-02-03,90.6626,98.6437
2024-02-04,90.6626,98.6437
2024-02-05,90.6626,98.6437
2024-02-06,91.2434,98.2279
2024-02-07,90.6842,97.444
2024-02-08,91.1514,98.0936
2024-02-09,91.2561,98.3543
2024-02-10,90.8901,97.9364
2024-02-11,90.8901,97.9364
2024-02-12,90.8901,97.9364
2024-02-13,91.0758,98.1512
2024-02-14,91.2057,98.1917
2024-02-15,91.4316,97.8133
2024-02-16,91.8237,98.4099
2024-02-17,92.5492,99.3523
2024-02-18,92.5492,99.3523
2024-02-19,92.5492,99.3523
2024-02-20,92.4102,99.4889
2024-02-21,92.349,99.5589
2024-02-22,92.4387,99.8968
2024-02-23,92.7519,100.4425
2024-02-24,92.7519,100.4425
2024-02-25,92.7519,100.4425
2024-02-26,92.7519,100.4425
2024-02-27,92.6321,100.1776
2024-02-28,92.0425,99.9214
2024-02-29,91.8692,99.45
2024-03-01,90.8423,98.5447
2024-03-02,91.3336,98.7225
2024-03-03,91.3336,98.7225
2024-03-04,91.3336,98.7225
2024-03-05,91.3534,99.1061
2024-03-06,91.1604,98.9366
2024-03-07,90.3412,98.2017
2024-03-08,90.7493,98.8767
2024-03-09,90.7493,98.8767
2024-03-10,90.7493,98.8767
2024-03-11,90.7493,98.8767
2024-03-12,90.6252,99.1317
2024-03-13,90.8818,99.3561
2024-03-14,91.5449,100.1869
2024-03-15,91.6359,100.2625
2024-03-16,91.87,99.9718
2024-03-17,91.87,99.9718
2024-03-18,91.87,99.9718
2024-03-19,91.9829,100.2432
2024-03-20,92.2243,100.1047
2024-03-21,92.6861,100.6139
2024-03-22,91.9499,100.365
2024-03-23,92.6118,100.217
2024-03-24,92.6118,100.217
2024-03-25,92.6118,100.217
2024-03-26,92.7761,100.3651
2024-03-27,92.5745,100.4121
2024-03-28,92.5919,100.2704
2024-03-29,92.2628,99.7057
2024-03-30,92.366,99.5299
2024-03-31,92.366,99.5299
2024-04-01,92.366,99.5299
2024-04-02,92.2914,99.5661
2024-04-03,92.5254,99.4116
2024-04-04,92.3892,99.4277
2024-04-05,92.3058,100.0668
2024-04-06,92.4155,100.1259
2024-04-07,92.4155,100.1259
2024-04-08,92.4155,100.1259
2024-04-09,92.581,100.2236
2024-04-10,92.7463,100.7473
2024-04-11,93.2198,101.2333
2024-04-12,93.7196,100.6793
2024-04-13,93.4419,99.7264
2024-04-14,93.4419,99.7264
2024-04-15,93.4419,99.7264
2024-04-16,93.5891,99.7934
2024-04-17,94.0742,99.9341
2024-04-18,94.3242,100.2787
2024-04-19,94.0922,100.5316
2024-04-20,93.4409,99.5797
2024-04-21,93.4409,99.5797
2024-04-22,93.4409,99.5797
2024-04-23,93.2519,99.3648
2024-04-24,93.2918,99.5609
2024-04-25,92.5058,98.9118
2024-04-26,92.1314,98.7079
2024-04-27,92.0134,98.7187
2024-04-28,91.7791,98.027
2024-04-29,91.7791,98.027
2024-04-30,91.7791,98.027
2024-05-01,91.7791,98.027
2024-05-02,91.7791,98.027
2024-05-03,92.0538,98.6447
2024-05-04,91.6918,98.5602
2024-05-05,91.6918,98.5602
2024-05-06,91.6918,98.5602
2024-05-07,91.3124,98.473
2024-05-08,91.1231,98.3062
2024-05-09,91.8239,98.9461
2024-05-10,91.8239,98.9461
2024-05-11,91.8239,98.9461
2024-05-12,91.8239,98.9461
2024-05-13,91.8239,98.9461
2024-05-14,91.633,98.8486
2024-05-15,91.3591,98.6682
2024-05-16,91.2573,98.8267
2024-05-17,90.9239,98.8978
2024-05-18,90.9873,98.7776
2024-05-19,90.9873,98.7776
2024-05-20,90.9873,98.7776
2024-05-21,90.6537,98.5842
2024-05-22,90.4082,98.2971
2024-05-23,90.1887,97.8989
2024-05-24,90.2486,97.8788
2024-05-25,89.7026,97.0954
2024-05-26,89.7026,97.0954
2024-05-27,89.7026,97.0954
2024-05-28,88.6852,96.3034
2024-05-29,88.4375,96.2383
2024-05-30,89.2589,96.891
2024-05-31,89.7869,97.1347
2024-06-01,90.1915,97.7908
2024-06-02,90.1915,97.7908
2024-06-03,90.1915,97.7908
2024-06-04,89.3755,96.8721
2024-06-05,88.7574,96.563
2024-06-06,88.7436,96.4443
